organization,type,years,website,twitter,linkedin,ad_placement,website_listing,named_event,venue_sponsor,transport_sponsor,notes
BETA.MN,Organizer,2014-2026,https://www.beta.mn,betamn,beta-group,unknown,yes,no,no,no,Primary organizer
Communiful,Co-Organizer,2025-2026,https://communiful.com,,,unknown,yes,no,no,no,Co-organizer 2025-2026
Twin Ignition,Venue/Sponsor,2022-2024,https://twinignition.com,,twin-ignition,unknown,likely,no,yes,no,Startup Garage + Keg House venues
FINNOVATION Lab,Venue/Sponsor,2022-2024,https://finnovationlab.com,,,unknown,likely,no,yes,no,Training Lab venue
Workbox,Venue/Sponsor,2022-2024,https://workbox.com,,,unknown,likely,no,yes,no,Event venue
Luminary Arts Center,Venue,2023,https://luminaryartscenter.com,,,unknown,likely,no,yes,no,Main stage + breakout rooms 2023
Target Corporation,Title Sponsor,2019,https://target.com,target,target,yes,yes,no,no,no,Title sponsor 2019; logo on all materials
Cargill,Title Sponsor,2019,https://cargill.com,cargill,cargill,yes,yes,no,no,no,Title sponsor 2019
3M,Title Sponsor,2019,https://3m.com,3m,3m,yes,yes,no,no,no,Title sponsor 2019
JPMorgan Chase,Premier Sponsor,2023-2026,https://jpmorganchase.com,jpmorgan,jpmorgan-chase,yes,yes,no,no,no,BETA Showcase sponsor 2023; 2026 listed sponsor
TriNet,Premier Sponsor,2023,https://trinet.com,trinet,trinet,yes,yes,no,no,no,VC Day + WeWork mixer sponsor; branding on stage
Optum,Premier Sponsor,2023,https://optum.com,optum,optum,yes,yes,yes,no,no,Named Optum Cup healthcare pitch competition
AWS,Corporate Sponsor,2019,https://aws.amazon.com,awscloud,amazon-web-services,yes,likely,no,no,no,Title sponsor 2019
Microsoft,Corporate Sponsor,2019,https://microsoft.com,microsoft,microsoft,yes,likely,no,no,no,Corporate sponsor 2019
Lyft,Transport Sponsor,2018,https://lyft.com,lyft,lyft,unknown,likely,no,no,yes,Free Lyft bus shuttle during TCSW 2018
Bread & Butter Ventures,Ecosystem/VC,2025-2026,https://breadandbutter.vc,bb_ventures,bread-butter-ventures,unknown,likely,no,no,no,MN VC; 2026 sponsor
Matchstick Ventures,Ecosystem/VC,2025,https://matchstickventures.com,matchstickvc,matchstick-ventures,unknown,likely,no,no,no,MN VC
Great North Ventures,Ecosystem/VC,2025,https://greatnorthventures.com,greatnorthvc,great-north-ventures,unknown,likely,no,no,no,MN VC
Groove Capital,Ecosystem/VC,2025-2026,https://groovecapital.com,,groove-capital,unknown,likely,no,no,no,2026 listed sponsor
gener8tor,Ecosystem,2025,https://gener8tor.com,gener8tor,gener8tor,unknown,likely,no,no,no,Startup accelerator MN ecosystem
MN Cup / University of Minnesota,Competition Partner,2014-2026,https://mncup.org,mncup,,unknown,likely,no,no,no,Annual pitch competition; Grand Finale during TCSW
Launch Minnesota,Ecosystem,2019-2026,https://launchmn.com,launchmn,launch-minnesota,unknown,likely,no,no,no,State of MN startup initiative
Augeo,Sponsor,2026,https://augeo.com,,augeo,unknown,likely,no,no,no,2026 sponsor
Northeast Bank,Sponsor,2026,https://northeastbank.com,,,unknown,likely,no,no,no,2026 sponsor
Taft Law,Sponsor,2026,https://taftlaw.com,,taft-law,unknown,likely,no,no,no,2026 sponsor; annual exit planning sessions
Mairs & Power,Sponsor,2026,https://mairsandpower.com,,,unknown,likely,no,no,no,2026 sponsor
