Year,Organization,Tier/Role,Category,Contact Person/Title,Notes,Source
2026,BETA (The Beta Group),Organizer/Operator,Nonprofit,Angela Eifert - Executive Director,501c3 nonprofit operator,tcstartupweek.com
2026,Communiful,Co-Host,Tech/Community,Hayley Brooks - Founder,Co-hosting 2026,tcstartupweek.com
2025,BETA (The Beta Group),Organizer/Operator,Nonprofit,Angela Eifert - Executive Director,501c3 nonprofit operator,beta.mn
2025,Communiful,Co-Host,Tech/Community,Hayley Brooks - Founder,12th annual co-host,communiful.com
2025,Groove Capital,Event Partner - Pitch Night,VC/Investor,,Portfolio showcase event,start-midwest.com
2025,Great North Ventures,Event Partner - Investor Networking,VC/Investor,,Tuesday investor-founder event,start-midwest.com
2025,EmpowerHER,Event Partner - Investor Networking,Organization,,Tuesday investor-founder event,start-midwest.com
2025,gener8tor,Event Partner - Showcase,Accelerator,,BETA x gener8tor Showcase 200+ attendees,twincitiescollective.com
2025,Matchstick Ventures,VC Panel,VC/Investor,,Monday VC panel,start-midwest.com
2025,Bread & Butter Ventures,VC Panel,VC/Investor,,Monday VC panel,start-midwest.com
2025,M25,VC Panel,VC/Investor (Chicago),,Monday VC panel,start-midwest.com
2025,Hyde Park Venture Partners,VC Panel,VC/Investor,,Monday VC panel,start-midwest.com
2025,Mairs & Power Venture Capital,Panel Sponsor,VC/Investor,Scott Burns - Managing Director,Thursday panel B2B scaling,start-midwest.com
2025,Launch Minnesota,Happy Hour,Government,,Tuesday evening happy hour,twincitiescollective.com
2025,DEED,Resource Fair,Government,,Thursday St. Paul Resource Fair,twincitiescollective.com
2025,MN Cup / University of Minnesota,Grand Finale,Competition,,Monday $400K+ prizes,start-midwest.com
2025,Idea Fund,Happy Hour,Regional VC (La Crosse WI),,Monday happy hour,start-midwest.com
2025,Naturally MN,Food & Beverage Showcase,Industry Association,,Tuesday Innovation Crawl co-event,start-midwest.com
2023,Optum,Title Sponsor - Cup Naming Rights,Healthcare Tech (UnitedHealth),,"Optum Cup" keynote + finals,tcsw2023.sched.com
