name,type,years,website,email,linkedin,twitter,instagram,facebook,notes
BETA.MN,Organizer,2014-2026,https://www.beta.mn,Angela.Eifert@BETA.MN,beta-group,betamn,betamn,betamn,Primary organizer
Communiful,Co-Organizer,2025-2026,https://communiful.com,,,,,,Co-organizer 2025-2026
Twin Ignition,Venue/Sponsor,2022-2024,https://twinignition.com,,twin-ignition,,,,Startup Garage + Keg House venues
FINNOVATION Lab,Venue/Sponsor,2022-2024,https://finnovationlab.com,,,,,,Training Lab venue
Workbox,Venue/Sponsor,2022-2024,https://workbox.com,,,,,,Event venue
Luminary Arts Center,Venue,2023,https://luminaryartscenter.com,,,,,,Main stage + breakout rooms 2023
Target Corporation,Title Sponsor,2019,https://target.com,,target,target,target,target,Title sponsor 2019; logo on all materials
Cargill,Title Sponsor,2019,https://cargill.com,,cargill,cargill,,cargill,Title sponsor 2019
3M,Title Sponsor,2019,https://3m.com,,3m,3m,,3M,Title sponsor 2019
JPMorgan Chase,Premier Sponsor,2023-2026,https://jpmorganchase.com,,jpmorgan-chase,jpmorgan,,jpmorganchase,BETA Showcase sponsor 2023; 2026 listed sponsor
TriNet,Premier Sponsor,2023,https://trinet.com,,trinet,trinet,,trinet,VC Day + WeWork mixer sponsor; branding on stage
Optum,Premier Sponsor,2023,https://optum.com,,optum,optum,,optum,Named Optum Cup healthcare pitch competition
AWS,Corporate Sponsor,2019,https://aws.amazon.com,,amazon-web-services,awscloud,,,Title sponsor 2019
Microsoft,Corporate Sponsor,2019,https://microsoft.com,,microsoft,microsoft,,microsoft,Corporate sponsor 2019
Lyft,Transport Sponsor,2018,https://lyft.com,,lyft,lyft,lyft,lyft,Free Lyft bus shuttle during TCSW 2018
Bread & Butter Ventures,Ecosystem/VC,2025-2026,https://breadandbutter.vc,,bread-butter-ventures,bb_ventures,,,MN VC; 2026 sponsor
Matchstick Ventures,Ecosystem/VC,2025,https://matchstickventures.com,,matchstick-ventures,matchstickvc,,,MN VC
Great North Ventures,Ecosystem/VC,2025,https://greatnorthventures.com,,great-north-ventures,greatnorthvc,,,MN VC
Groove Capital,Ecosystem/VC,2025-2026,https://groovecapital.com,,groove-capital,,,,2026 listed sponsor
gener8tor,Ecosystem,2025,https://gener8tor.com,,gener8tor,gener8tor,,gener8tor,Startup accelerator MN ecosystem
MN Cup / University of Minnesota,Competition Partner,2014-2026,https://mncup.org,,,mncup,,mncup,Annual pitch competition; Grand Finale during TCSW
Launch Minnesota,Ecosystem,2019-2026,https://launchmn.com,,launch-minnesota,launchmn,,launchmn,State of MN startup initiative
Augeo,Sponsor,2026,https://augeo.com,,augeo,,,,2026 sponsor
Northeast Bank,Sponsor,2026,https://northeastbank.com,,,,,,2026 sponsor
Taft Law,Sponsor,2026,https://taftlaw.com,,taft-law,,,,2026 sponsor; annual exit planning sessions
Mairs & Power,Sponsor,2026,https://mairsandpower.com,,,,,,2026 sponsor
Brooksource,Sponsor,2026,https://brooksource.com,,brooksource,,,,2026 sponsor
Shakopee Mdewakanton Sioux Community,Sponsor,2026,https://shakopeedakota.org,,,,,,2026 sponsor — tribal nation
Idea Fund,Sponsor,2026,,,,,,,2026 sponsor
Biometrica Health,Sponsor,2026,,,,,,,2026 sponsor
ezer21,Sponsor,2026,,,,,,,2026 sponsor
Full Stack Saint Paul Scale Up,Sponsor,2026,,,,,,,2026 sponsor
WeWork,Venue/Sponsor,2023,https://wework.com,,wework,wework,wework,wework,NorthLoop location 2023
Lab651,Venue/Sponsor,2023,https://lab651.com,,lab651,,,,AI + software session host
Augurian,Venue/Sponsor,2023,https://augurian.com,,augurian,augurian,,,Co-branded Cloudburst SBC venue 2023
West Monroe,Venue/Sponsor,2023,https://westmonroe.com,,west-monroe-partners,westmonroecorp,,,AI Day session host 2023
Stratasys,Venue/Sponsor,2023,https://stratasys.com,,stratasys,stratasys,,stratasys,3D Printing session host 2023
Fredrikson & Byron,Venue/Sponsor,2023,https://fredlaw.com,,fredrikson-byron,,,,Finance session host 2023
EmpowerHER,Community Partner,2025,,,,,,,Women founders program 2025
ConnectUP! Institute,Community Partner,2023,,,,,,,Saint Paul location 2023
ACER Inc,Community Partner,2023,,,,,,,Cultural communities session 2023
Fearless Commerce,Community Partner,2023,,,,,,,The Watering event presenter 2023
First Independence Bank,Community Partner,2023,https://firstindependencebank.com,,,,,,Business credit session host
BauHaus Brew Labs,Venue,2023,https://bauhausbrewlabs.com,,,bauhausbrewlabs,bauhausbrewlabs,,Medical Device Networking happy hour
Sociable Ciderworks,Venue,2023,https://sociablecider.com,,,sociablecider,sociablecider,,OnlyFounders Bags Tournament venue
Acme Comedy Company,Venue,2023,https://acmecomedycompany.com,,,acmecomedy,,acmecomedy,VC Day happy hour venue
Riverview Theater,Venue,2023,https://riverviewtheater.com,,,,,,Minnedemo39 venue
Target Field / MN Twins,Venue,2023,https://mlb.com/twins,,,twins,twins,twinsbaseball,BETA Fall Showcase 2023
McNamara Alumni Center,Venue,2023,https://mcnamaraalumnicenter.com,,,,,,MN Cup Grand Finale 2023
Woulfe Alumni Hall / U of St Thomas,Venue,2023,https://stthomas.edu,,,stthomas,stthomas,,gBETA showcase venue 2023
IDS Tower / Fulcrum,Venue,2023,,,,,,,Fulcrum HQ 46th floor networking event
Northrop / U of Minnesota,Venue,2023,https://northrop.umn.edu,,,,,,Infrastructure + future sessions 2023
Hewing Hotel,Venue,2023,https://hewinghotel.com,,,hewinghotel,hewinghotel,hewinghotel,AR session venue 2023
